"data e hora","caso de teste","mensagem"
"[2021/09/26 20:02:26.863]","Consultar Curso Mantis","Iniciou o teste"
"[2021/09/26 20:02:30.350]","Consultar Curso Mantis","Abriu o site"
"[2021/09/26 20:02:30.630]","Consultar Curso Mantis","Clicou na caixa de pesquisa"
"[2021/09/26 20:02:30.668]","Consultar Curso Mantis","Limpou a caixa de pesquisa"
"[2021/09/26 20:02:30.738]","Consultar Curso Mantis","Escreveu Mantis na caixa de pesquisa"
"[2021/09/26 20:02:32.502]","Consultar Curso Mantis","Clicou no botão da Lupa"
"[2021/09/26 20:02:32.534]","Consultar Curso Mantis","Confirmou o texto indicativo da pesquisa do curso Mantis"
"[2021/09/26 20:02:34.752]","Consultar Curso Mantis","Clicou no botão Matricule-se"
"[2021/09/26 20:02:34.776]","Consultar Curso Mantis","Confirmou o nome do curso Mantis"
"[2021/09/26 20:02:34.806]","Consultar Curso Mantis","Confirmou o preço do curso Mantis"
"[2021/09/26 20:02:35.047]","Consultar Curso Mantis","Concluiu o teste"
