"data e hora","caso de teste","mensagem"
"[2021/07/28 20:09:11.933]","Consultar Curso Mantis","Iniciou o teste"
"[2021/07/28 20:09:17.926]","Consultar Curso Mantis","Abriu o site"
"[2021/07/28 20:09:18.621]","Consultar Curso Mantis","Clicou na caixa de pesquisa"
"[2021/07/28 20:09:18.673]","Consultar Curso Mantis","Limpou a caixa de pesquisa"
"[2021/07/28 20:09:18.743]","Consultar Curso Mantis","Escreveu Mantis na caixa de pesquisa"
"[2021/07/28 20:09:21.272]","Consultar Curso Mantis","Clicou no botão da Lupa"
"[2021/07/28 20:09:21.314]","Consultar Curso Mantis","Confirmou o texto indicativo da pesquisa do curso Mantis"
"[2021/07/28 20:09:23.718]","Consultar Curso Mantis","Clicou no botão Matricule-se"
"[2021/07/28 20:09:23.758]","Consultar Curso Mantis","Confirmou o nome do curso Mantis"
"[2021/07/28 20:09:24.072]","Consultar Curso Mantis","Confirmou o preço do curso Mantis"
"[2021/07/28 20:09:24.202]","Consultar Curso Mantis","Concluiu o teste"
