"data e hora","caso de teste","mensagem"
"[2021/09/26 19:03:13.885]","Consultar Curso Mantis","Iniciou o teste"
"[2021/09/26 19:03:17.728]","Consultar Curso Mantis","Abriu o site"
"[2021/09/26 19:03:18.016]","Consultar Curso Mantis","Clicou na caixa de pesquisa"
"[2021/09/26 19:03:18.053]","Consultar Curso Mantis","Limpou a caixa de pesquisa"
"[2021/09/26 19:03:18.126]","Consultar Curso Mantis","Escreveu Mantis na caixa de pesquisa"
"[2021/09/26 19:03:20.249]","Consultar Curso Mantis","Clicou no botão da Lupa"
"[2021/09/26 19:03:20.489]","Consultar Curso Mantis","Confirmou o texto indicativo da pesquisa do curso Mantis"
"[2021/09/26 19:03:22.721]","Consultar Curso Mantis","Clicou no botão Matricule-se"
"[2021/09/26 19:03:22.748]","Consultar Curso Mantis","Confirmou o nome do curso Mantis"
"[2021/09/26 19:03:22.777]","Consultar Curso Mantis","Confirmou o preço do curso Mantis"
"[2021/09/26 19:03:23.104]","Consultar Curso Mantis","Concluiu o teste"
